Thành_Phố,Thành_Phố_Encoded,Quận_Huyện,Quận_Huyện_Encoded,Giá_Cho_Thuê,Log_Giá,Diện_Tích_m2,Log_Diện_Tích,Máy_Lạnh,Nóng_Lạnh,Thang_Máy,Tủ_Lạnh,Máy_Giặt,Đầy_Đủ_Nội_Thất,Có_Gác_Lửng,Bảo_Vệ_An_Ninh,Giờ_Tự_Do,Không_Chung_Chủ
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.1,1.1314021114911006,25.0,3.258096538021482,0,0,0,0,0,0,1,1,1,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.7,0.9932517730102833,20.0,3.044522437723423,1,1,0,0,0,0,0,1,1,1
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,3.0,1.3862943611198906,35.0,3.58351893845611,0,1,0,1,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,2.3,1.1939224684724346,25.0,3.258096538021482,1,1,0,0,0,0,0,0,0,1
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,1,0,0,1
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,2.5,1.252762968495368,20.0,3.044522437723423,0,0,0,0,0,0,1,0,0,1
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.9,1.3609765531356006,25.0,3.258096538021482,0,0,0,0,1,1,0,0,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.5,1.252762968495368,40.0,3.713572066704308,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,1.1,0.7419373447293773,20.0,3.044522437723423,1,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,1.6,0.9555114450274363,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,2.7,1.308332819650179,30.0,3.4339872044851463,0,0,0,0,0,0,1,1,1,1
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,2.5,1.252762968495368,25.0,3.258096538021482,1,0,0,0,0,0,1,1,1,1
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,2.9,1.3609765531356006,35.5,3.597312260588446,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,2.2,1.1631508098056809,20.0,3.044522437723423,0,0,1,0,0,0,1,1,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,4.0,1.6094379124341003,25.0,3.258096538021482,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,2.0,1.0986122886681098,25.0,3.258096538021482,1,1,0,1,0,0,1,1,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.5,0.9162907318741551,16.0,2.833213344056216,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.5,0.9162907318741551,18.0,2.9444389791664403,0,0,0,0,0,0,0,0,1,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.3,0.832909122935104,18.0,2.9444389791664403,1,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,2.2,1.1631508098056809,18.0,2.9444389791664403,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,3.5,1.5040773967762742,45.0,3.828641396489095,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,2.0,1.0986122886681098,40.0,3.713572066704308,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.3,0.832909122935104,12.0,2.5649493574615367,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,3.5,1.5040773967762742,19.0,2.995732273553991,0,0,0,0,0,1,0,1,1,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,2.5,1.252762968495368,30.0,3.4339872044851463,0,0,0,0,0,0,0,1,1,0
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,1.3,0.832909122935104,12.0,2.5649493574615367,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,3.5,1.5040773967762742,28.0,3.367295829986474,0,0,1,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,3.5,1.5040773967762742,35.0,3.58351893845611,1,1,0,1,1,1,0,0,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.9,1.0647107369924282,30.0,3.4339872044851463,1,1,0,0,0,0,0,0,0,1
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,3.5,1.5040773967762742,35.0,3.58351893845611,0,0,0,0,0,1,0,0,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,2.5,1.252762968495368,20.0,3.044522437723423,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,2.7,1.308332819650179,30.0,3.4339872044851463,1,1,1,0,1,1,0,1,0,0
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,3.3,1.4586150226995167,25.0,3.258096538021482,1,0,0,1,1,1,0,0,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,1.4,0.8754687373538999,18.0,2.9444389791664403,0,0,0,0,0,0,0,1,0,1
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,2.2,1.1631508098056809,20.0,3.044522437723423,1,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,3.5,1.5040773967762742,25.0,3.258096538021482,1,1,1,0,0,0,0,0,1,0
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,3.0,1.3862943611198906,25.0,3.258096538021482,0,1,1,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,2.0,1.0986122886681098,35.0,3.58351893845611,0,0,0,0,0,0,0,0,1,1
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,3.2,1.4350845252893227,40.0,3.713572066704308,1,1,0,0,1,1,0,0,1,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,2.6,1.2809338454620642,32.0,3.4965075614664802,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,3.7,1.547562508716013,20.0,3.044522437723423,1,1,1,0,0,1,0,1,1,0
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,1.4,0.8754687373538999,15.0,2.772588722239781,0,0,0,0,0,0,0,1,0,1
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.0,1.0986122886681098,20.0,3.044522437723423,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,2.0,1.0986122886681098,20.0,3.044522437723423,0,0,0,0,0,0,0,1,1,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,2.0,1.0986122886681098,16.0,2.833213344056216,1,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,3.6,1.5260563034950492,13.0,2.6390573296152584,1,1,0,1,1,1,0,1,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,4.5,1.7047480922384253,25.0,3.258096538021482,1,1,0,1,1,1,0,1,1,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,2.0,1.0986122886681098,17.0,2.8903717578961645,0,0,0,0,0,0,0,0,0,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,3.2,1.4350845252893227,30.0,3.4339872044851463,0,0,1,0,0,1,0,0,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.5,1.252762968495368,20.0,3.044522437723423,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,2.0,1.0986122886681098,30.0,3.4339872044851463,0,1,0,0,0,0,1,0,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.8,1.0296194171811581,12.0,2.5649493574615367,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.5,1.252762968495368,20.0,3.044522437723423,0,1,0,0,0,0,1,0,1,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.8,1.0296194171811581,35.0,3.58351893845611,0,0,0,0,0,0,0,0,1,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,2.0,1.0986122886681098,25.0,3.258096538021482,0,0,0,1,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,2.7,1.308332819650179,40.0,3.713572066704308,0,0,0,0,0,0,0,1,1,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,3.5,1.5040773967762742,20.0,3.044522437723423,1,0,0,1,1,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.3,0.832909122935104,18.0,2.9444389791664403,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,2.7,1.308332819650179,23.0,3.1780538303479458,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.5,1.252762968495368,40.0,3.713572066704308,1,1,0,1,1,1,0,0,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.7,0.9932517730102833,12.0,2.5649493574615367,0,0,0,0,0,0,1,0,0,1
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.5,0.9162907318741551,16.3,2.8507065015037334,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,2.8,1.33500106673234,30.0,3.4339872044851463,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,3.0,1.3862943611198906,25.0,3.258096538021482,1,0,1,0,1,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,0.85,0.6151856390902334,18.0,2.9444389791664403,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.0,0.6931471805599453,15.0,2.772588722239781,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.4,0.8754687373538999,18.0,2.9444389791664403,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.5,0.9162907318741551,15.0,2.772588722239781,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.6,0.9555114450274363,16.0,2.833213344056216,1,1,0,1,0,0,0,1,0,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,1,1,1,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,2.5,1.252762968495368,25.0,3.258096538021482,1,1,0,0,1,0,0,0,1,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.5,0.9162907318741551,40.0,3.713572066704308,1,1,0,0,0,0,0,0,0,1
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.4,0.8754687373538999,18.0,2.9444389791664403,1,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,1.5,0.9162907318741551,25.0,3.258096538021482,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,1.8,1.0296194171811581,30.0,3.4339872044851463,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,0.8,0.5877866649021191,15.75,2.8183982582710754,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,2.8,1.33500106673234,23.0,3.1780538303479458,1,1,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,1.5,0.9162907318741551,15.0,2.772588722239781,0,0,0,0,0,0,0,1,0,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,3.5,1.5040773967762742,35.0,3.58351893845611,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,2.5,1.252762968495368,35.0,3.58351893845611,0,1,1,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,0,1,0,1
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.1,0.7419373447293773,35.0,3.58351893845611,0,0,0,0,0,0,1,0,0,1
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,1.7,0.9932517730102833,25.0,3.258096538021482,1,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,2.3,1.1939224684724346,30.0,3.4339872044851463,0,1,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.5,1.252762968495368,25.0,3.258096538021482,1,0,0,0,0,0,1,1,1,1
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.5,1.252762968495368,25.0,3.258096538021482,0,1,0,0,0,0,1,0,1,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,4.0,1.6094379124341003,26.3,3.3068867021909143,0,0,1,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,3.0,1.3862943611198906,25.0,3.258096538021482,1,1,0,0,1,1,0,1,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,1.5,0.9162907318741551,18.0,2.9444389791664403,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,3.0,1.3862943611198906,30.0,3.4339872044851463,0,0,0,1,1,0,1,1,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,2.5,1.252762968495368,40.0,3.713572066704308,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.0,0.6931471805599453,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,2.6,1.2809338454620642,30.0,3.4339872044851463,1,0,0,0,0,0,1,1,0,1
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,3.5,1.5040773967762742,30.0,3.4339872044851463,1,1,0,0,1,0,0,1,1,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.0,1.0986122886681098,20.0,3.044522437723423,0,1,0,0,0,0,1,0,1,0
Đà Nẵng,2.1852913012729847,Thanh Quan,1.5,1.5,0.9162907318741551,20.0,3.044522437723423,0,1,0,1,1,1,0,1,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,2.2,1.1631508098056809,25.0,3.258096538021482,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,3.5,1.5040773967762742,30.0,3.4339872044851463,1,0,1,0,1,0,0,1,1,1
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,2.7,1.308332819650179,20.0,3.044522437723423,1,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,1.0,0.6931471805599453,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.0,1.0986122886681098,30.0,3.4339872044851463,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,3.0,1.3862943611198906,40.0,3.713572066704308,0,0,0,0,0,1,0,1,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.5,1.252762968495368,22.0,3.1354942159291497,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.2,0.7884573603642702,25.0,3.258096538021482,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,2.5,1.252762968495368,30.0,3.4339872044851463,1,1,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,1.6,0.9555114450274363,14.0,2.70805020110221,0,0,0,0,1,0,0,1,1,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,3.8,1.5686159179138452,30.0,3.4339872044851463,1,0,0,1,1,1,0,1,0,1
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,2.8,1.33500106673234,25.0,3.258096538021482,1,1,1,1,1,1,0,0,1,1
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,1.2,0.7884573603642702,25.0,3.258096538021482,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,3.5,1.5040773967762742,35.0,3.58351893845611,1,1,1,1,1,0,0,0,1,1
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.3,0.832909122935104,17.0,2.8903717578961645,0,0,0,0,0,0,0,0,0,1
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,3.0,1.3862943611198906,20.0,3.044522437723423,0,0,0,0,0,1,0,1,1,1
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.5,0.9162907318741551,25.0,3.258096538021482,0,0,0,0,0,0,0,1,1,0
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,1.8,1.0296194171811581,28.0,3.367295829986474,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,2.8,1.33500106673234,40.0,3.713572066704308,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,2.5,1.252762968495368,18.0,2.9444389791664403,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,2.8,1.33500106673234,24.0,3.2188758248682006,1,1,0,0,1,1,0,1,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.4,0.8754687373538999,30.0,3.4339872044851463,0,0,0,0,0,1,0,1,1,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.3,0.832909122935104,20.0,3.044522437723423,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,1.8,1.0296194171811581,30.0,3.4339872044851463,1,0,0,1,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,2.0,1.0986122886681098,20.0,3.044522437723423,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,1,1,0,1
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,4.5,1.7047480922384253,25.0,3.258096538021482,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,2.5,1.252762968495368,22.0,3.1354942159291497,0,0,0,0,0,0,0,0,0,1
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,1.2,0.7884573603642702,25.0,3.258096538021482,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,1.5,0.9162907318741551,18.0,2.9444389791664403,0,0,0,0,0,0,0,0,0,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,1,1,0,0,0,0,0
